1	Test your spelling. What is the -<b>ing</b> form of these verbs?	dance <br>$Blankspace$	dancing
2	Test your spelling. What is the -<b>ing</b> form of these verbs?	grow <br />$Blankspace$	growing
3	Test your spelling. What is the -<b>ing</b> form of these verbs?	lie <br />$Blankspace$	lying
4	Test your spelling. What is the -<b>ing</b> form of these verbs?	pay <br>$Blankspace$	paying
5	Test your spelling. What is the -<b>ing</b> form of these verbs?	arrive <br />$Blankspace$	arriving
6	Test your spelling. What is the -<b>ing</b> form of these verbs?	enjoy <br />$Blankspace$	enjoying
7	Test your spelling. What is the -<b>ing</b> form of these verbs?	breathe <br />$Blankspace$	breathing
8	Test your spelling. What is the -<b>ing</b> form of these verbs?	try <br />$Blankspace$	trying
9	Test your spelling. What is the -<b>ing</b> form of these verbs?	die <br />$Blankspace$	dying
10	Test your spelling. What is the -<b>ing</b> form of these verbs?	decide <br />$Blankspace$	deciding
11	Test your spelling. What is the -<b>ing</b> form of these verbs?	run <br />$Blankspace$	running
12	Test your spelling. What is the -<b>ing</b> form of these verbs?	happen <br />$Blankspace$	happening
13	Test your spelling. What is the -<b>ing</b> form of these verbs?	write <br />$Blankspace$	writing
14	Test your spelling. What is the -<b>ing</b> form of these verbs?	sit <br>$Blankspace$	sitting
15	Test your spelling. What is the -<b>ing</b> form of these verbs?	shoot <br />$Blankspace$	shooting
16	Test your spelling. What is the -<b>ing</b> form of these verbs?	shut <br />$Blankspace$	shutting
17	Test your spelling. What is the -<b>ing</b> form of these verbs?	buy <br />$Blankspace$	buying
18	Test your spelling. What is the -<b>ing</b> form of these verbs?	become <br />$Blankspace$	becoming
19	Test your spelling. What is the -<b>ing</b> form of these verbs?	swim <br />$Blankspace$	swimming
20	Test your spelling. What is the -<b>ing</b> form of these verbs?	stop <br />$Blankspace$	stopping
21	Test your spelling. What is the -<b>ing</b> form of these verbs?	hope <br />$Blankspace$	hoping
22	Test your spelling. What is the -<b>ing</b> form of these verbs?	stay <br />$Blankspace$	staying
